"id_11km","id_55km","id_111km","id_222km"
133,27,14,7
134,27,14,7
135,27,14,7
136,28,14,7
137,28,14,7
138,28,14,7
139,28,14,7
586,27,14,7
587,27,14,7
588,28,14,7
589,28,14,7
590,28,14,7
591,28,14,7
592,28,14,7
1038,27,14,7
1039,27,14,7
1040,28,14,7
1041,28,14,7
1042,28,14,7
1043,28,14,7
1044,28,14,7
1045,29,15,8
1490,27,14,7
1491,27,14,7
1492,28,14,7
1493,28,14,7
1494,28,14,7
1495,28,14,7
1496,28,14,7
1497,29,15,8
1941,27,14,7
1942,27,14,7
1943,27,14,7
1944,28,14,7
1945,28,14,7
1946,28,14,7
1947,28,14,7
1948,28,14,7
2391,118,14,7
2392,118,14,7
2393,118,14,7
2394,118,14,7
2395,118,14,7
2396,119,14,7
2397,119,14,7
2398,119,14,7
2399,119,14,7
2400,119,14,7
2843,118,14,7
2844,118,14,7
2845,118,14,7
2846,118,14,7
2847,118,14,7
2848,119,14,7
2849,119,14,7
2850,119,14,7
2851,119,14,7
2852,119,14,7
3291,117,13,7
3292,117,13,7
3293,117,13,7
3294,117,13,7
3295,118,14,7
3296,118,14,7
3297,118,14,7
3298,118,14,7
3299,118,14,7
3300,119,14,7
3301,119,14,7
3302,119,14,7
3303,119,14,7
3304,119,14,7
3305,120,15,8
3306,120,15,8
3741,116,13,7
3742,117,13,7
3743,117,13,7
3744,117,13,7
3745,117,13,7
3746,117,13,7
3747,118,14,7
3748,118,14,7
3749,118,14,7
3750,118,14,7
3751,118,14,7
3752,119,14,7
3753,119,14,7
3754,119,14,7
3755,119,14,7
3756,119,14,7
3757,120,15,8
3758,120,15,8
3759,120,15,8
3760,120,15,8
3841,136,23,12
3842,137,23,12
4160,110,10,5
4161,110,10,5
4193,116,13,7
4194,117,13,7
4195,117,13,7
4196,117,13,7
4197,117,13,7
4198,117,13,7
4199,118,14,7
4200,118,14,7
4201,118,14,7
4202,118,14,7
4203,118,14,7
4204,119,14,7
4205,119,14,7
4206,119,14,7
4207,119,14,7
4208,119,14,7
4209,120,15,8
4210,120,15,8
4211,120,15,8
4212,120,15,8
4293,136,23,12
4294,137,23,12
4295,137,23,12
4612,201,56,5
4613,201,56,5
4614,201,56,5
4636,206,58,6
4637,206,58,6
4640,206,58,6
4641,207,59,7
4642,207,59,7
4643,207,59,7
4644,207,59,7
4645,207,59,7
4646,208,59,7
4647,208,59,7
4648,208,59,7
4649,208,59,7
4650,208,59,7
4651,209,60,7
4652,209,60,7
4653,209,60,7
4654,209,60,7
4655,209,60,7
4656,210,60,7
4657,210,60,7
4658,210,60,7
4659,210,60,7
4660,210,60,7
4661,211,61,8
4662,211,61,8
4663,211,61,8
4744,227,69,12
4745,227,69,12
4746,228,69,12
4747,228,69,12
4748,228,69,12
5064,201,56,5
5065,201,56,5
5066,201,56,5
5067,201,56,5
5068,202,56,5
5069,202,56,5
5070,202,56,5
5071,202,56,5
5087,205,58,6
5088,206,58,6
5089,206,58,6
5090,206,58,6
5091,206,58,6
5092,206,58,6
5093,207,59,7
5094,207,59,7
5095,207,59,7
5096,207,59,7
5097,207,59,7
5098,208,59,7
5099,208,59,7
5100,208,59,7
5101,208,59,7
5102,208,59,7
5103,209,60,7
5104,209,60,7
5105,209,60,7
5106,209,60,7
5107,209,60,7
5108,210,60,7
5109,210,60,7
5110,210,60,7
5111,210,60,7
5112,210,60,7
5113,211,61,8
5114,211,61,8
5115,211,61,8
5116,211,61,8
5196,227,69,12
5197,227,69,12
5198,228,69,12
5199,228,69,12
5200,228,69,12
5517,201,56,5
5518,201,56,5
5519,201,56,5
5520,202,56,5
5521,202,56,5
5522,202,56,5
5523,202,56,5
5524,202,56,5
5527,203,57,6
5528,203,57,6
5530,204,57,6
5531,204,57,6
5532,204,57,6
5537,205,58,6
5538,205,58,6
5539,205,58,6
5540,206,58,6
5541,206,58,6
5542,206,58,6
5543,206,58,6
5544,206,58,6
5545,207,59,7
5546,207,59,7
5547,207,59,7
5548,207,59,7
5549,207,59,7
5550,208,59,7
5551,208,59,7
5552,208,59,7
5553,208,59,7
5554,208,59,7
5555,209,60,7
5556,209,60,7
5557,209,60,7
5558,209,60,7
5559,209,60,7
5560,210,60,7
5561,210,60,7
5562,210,60,7
5563,210,60,7
5564,210,60,7
5565,211,61,8
5566,211,61,8
5567,211,61,8
5568,211,61,8
5569,211,61,8
5647,227,69,12
5648,227,69,12
5649,227,69,12
5650,228,69,12
5651,228,69,12
5652,228,69,12
5653,228,69,12
5970,201,56,5
5971,201,56,5
5972,202,56,5
5973,202,56,5
5974,202,56,5
5975,202,56,5
5976,202,56,5
5977,203,57,6
5978,203,57,6
5979,203,57,6
5980,203,57,6
5981,203,57,6
5982,204,57,6
5983,204,57,6
5984,204,57,6
5989,205,58,6
5990,205,58,6
5991,205,58,6
5992,206,58,6
5993,206,58,6
5994,206,58,6
5995,206,58,6
5996,206,58,6
5997,207,59,7
5998,207,59,7
5999,207,59,7
6000,207,59,7
6001,207,59,7
6002,208,59,7
6003,208,59,7
6004,208,59,7
6005,208,59,7
6006,208,59,7
6007,209,60,7
6008,209,60,7
6009,209,60,7
6010,209,60,7
6011,209,60,7
6012,210,60,7
6013,210,60,7
6014,210,60,7
6015,210,60,7
6016,210,60,7
6017,211,61,8
6018,211,61,8
6019,211,61,8
6020,211,61,8
6021,211,61,8
6098,227,69,12
6099,227,69,12
6100,227,69,12
6101,227,69,12
6102,228,69,12
6103,228,69,12
6104,228,69,12
6105,228,69,12
6106,228,69,12
6423,201,56,5
6424,202,56,5
6425,202,56,5
6426,202,56,5
6427,202,56,5
6428,202,56,5
6429,203,57,6
6430,203,57,6
6431,203,57,6
6432,203,57,6
6433,203,57,6
6434,204,57,6
6435,204,57,6
6436,204,57,6
6437,204,57,6
6438,204,57,6
6441,205,58,6
6442,205,58,6
6443,205,58,6
6444,206,58,6
6445,206,58,6
6446,206,58,6
6447,206,58,6
6448,206,58,6
6449,207,59,7
6450,207,59,7
6451,207,59,7
6452,207,59,7
6453,207,59,7
6454,208,59,7
6455,208,59,7
6456,208,59,7
6457,208,59,7
6458,208,59,7
6459,209,60,7
6460,209,60,7
6461,209,60,7
6462,209,60,7
6463,209,60,7
6464,210,60,7
6465,210,60,7
6466,210,60,7
6467,210,60,7
6468,210,60,7
6469,211,61,8
6470,211,61,8
6471,211,61,8
6472,211,61,8
6473,211,61,8
6549,227,69,12
6550,227,69,12
6551,227,69,12
6552,227,69,12
6553,227,69,12
6554,228,69,12
6555,228,69,12
6556,228,69,12
6557,228,69,12
6558,228,69,12
6876,293,56,5
6877,293,56,5
6878,293,56,5
6879,293,56,5
6880,293,56,5
6881,294,57,6
6882,294,57,6
6883,294,57,6
6884,294,57,6
6885,294,57,6
6886,295,57,6
6887,295,57,6
6888,295,57,6
6889,295,57,6
6890,295,57,6
6891,296,58,6
6892,296,58,6
6893,296,58,6
6894,296,58,6
6895,296,58,6
6896,297,58,6
6897,297,58,6
6898,297,58,6
6899,297,58,6
6900,297,58,6
6901,298,59,7
6902,298,59,7
6903,298,59,7
6904,298,59,7
6905,298,59,7
6906,299,59,7
6907,299,59,7
6908,299,59,7
6909,299,59,7
6910,299,59,7
6911,300,60,7
6912,300,60,7
6913,300,60,7
6914,300,60,7
6915,300,60,7
6916,301,60,7
6917,301,60,7
6918,301,60,7
6919,301,60,7
6920,301,60,7
6921,302,61,8
6922,302,61,8
6923,302,61,8
6924,302,61,8
7001,318,69,12
7002,318,69,12
7003,318,69,12
7004,318,69,12
7005,318,69,12
7006,319,69,12
7007,319,69,12
7008,319,69,12
7009,319,69,12
7010,319,69,12
7330,293,56,5
7331,293,56,5
7332,293,56,5
7333,294,57,6
7334,294,57,6
7335,294,57,6
7336,294,57,6
7337,294,57,6
7338,295,57,6
7339,295,57,6
7340,295,57,6
7341,295,57,6
7342,295,57,6
7343,296,58,6
7344,296,58,6
7345,296,58,6
7346,296,58,6
7347,296,58,6
7348,297,58,6
7349,297,58,6
7350,297,58,6
7351,297,58,6
7352,297,58,6
7353,298,59,7
7354,298,59,7
7355,298,59,7
7356,298,59,7
7357,298,59,7
7358,299,59,7
7359,299,59,7
7360,299,59,7
7361,299,59,7
7362,299,59,7
7363,300,60,7
7364,300,60,7
7365,300,60,7
7366,300,60,7
7367,300,60,7
7368,301,60,7
7369,301,60,7
7370,301,60,7
7371,301,60,7
7372,301,60,7
7373,302,61,8
7374,302,61,8
7375,302,61,8
7452,317,68,11
7453,318,69,12
7454,318,69,12
7455,318,69,12
7456,318,69,12
7457,318,69,12
7458,319,69,12
7459,319,69,12
7460,319,69,12
7461,319,69,12
7462,319,69,12
7782,293,56,5
7783,293,56,5
7784,293,56,5
7785,294,57,6
7786,294,57,6
7787,294,57,6
7788,294,57,6
7789,294,57,6
7790,295,57,6
7791,295,57,6
7792,295,57,6
7793,295,57,6
7794,295,57,6
7795,296,58,6
7796,296,58,6
7797,296,58,6
7798,296,58,6
7799,296,58,6
7800,297,58,6
7801,297,58,6
7802,297,58,6
7803,297,58,6
7804,297,58,6
7805,298,59,7
7806,298,59,7
7807,298,59,7
7808,298,59,7
7809,298,59,7
7810,299,59,7
7811,299,59,7
7812,299,59,7
7813,299,59,7
7814,299,59,7
7815,300,60,7
7816,300,60,7
7817,300,60,7
7818,300,60,7
7819,300,60,7
7820,301,60,7
7821,301,60,7
7822,301,60,7
7823,301,60,7
7824,301,60,7
7825,302,61,8
7826,302,61,8
7903,317,68,11
7904,317,68,11
7905,318,69,12
7906,318,69,12
7907,318,69,12
7908,318,69,12
7909,318,69,12
7910,319,69,12
7911,319,69,12
7912,319,69,12
7913,319,69,12
7914,319,69,12
8234,293,56,5
8235,293,56,5
8236,293,56,5
8237,294,57,6
8238,294,57,6
8239,294,57,6
8240,294,57,6
8241,294,57,6
8242,295,57,6
8243,295,57,6
8244,295,57,6
8245,295,57,6
8246,295,57,6
8247,296,58,6
8248,296,58,6
